product_name,categories_tags,ingredients_text,fat_100g,sugars_100g,proteins_100g
madeleine Bijou ChocoPépites,"en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:cakes,en:madeleines","Farine de _blé_, pépites de chocolat 18% (sucre, pâte et beurre de cacao, émulsifiant lécithines (tournesol), arôme), huile de colza, sucre, _oeufs frais_, sirop de glucose-fructose, stabilisant: glycérol, poudres à lever: carbonates d'ammonium - carbonates de sodium - diphosphates (_blé_), arôme, émulsifiants mono et diglycérides d'acides gras, sel, lait écrémé en poudre, épaississant gomme xanthane. Peut contenir des traces de _soja_ et de _fruits à coque_.",25.0,32.0,5.8
bijou cacao,,"Ingnédients Farine de blé, sucre, huiles végétales (colza et tournesol), oeufs frais, sirop de glucose-fructose, stabilisant : glycérol, cacao maigre en poudre 1,9%, lait écrémé en poudre, pâte de cacao 0,8%, poudres à lever : carbonates d'ammonium - carbonates de sodium - diphosphates (blé), noisette, lactose, émulsifiants: mono et diglycérides d'acides gras lécithines (soja), sel, arôme. Peut contenir des traces d'autres fruits à coque.",25.0,32.0,5.8
Bijou Caramel ChocoLait,"en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:cakes,en:pastries,en:chocolate-cakes,en:filled-cakes","Farine de _blé_, fourrage lait et caramel 17% (sirop de glucose-fructose, _lait_ concentré sucré 20%*, stabilisant : glycérol, caramel 2.5%*, sel, arôme, gélifiant : pectines, conservateur : sorbate de potassium), huile de colza, _œufs_ frais, sucre, chocolat au lait 11% (sucre, beurre de cacao, poudre de _lait_ entier, pâte de cacao, émulsifiant : lécithines (_soja_), arôme), sirop de glucose-fructose, stabilisant : glycérol, poudres à lever : carbonates d'ammonium - carbonates de sodium - diphosphates (_blé_), sel, émulsifiants : mono et diglycérides d’acides gras, _lait_ écrémé en poudre, arôme. *% exprimés sur le fourrage équivalent respectivement à 3.4% et 0.4% sur l’ensemble du produit.",20.0,37.0,5.3
Vanilla Grass-fed Whey Protein Isolate,"en:dietary-supplements,en:bodybuilding-supplements,en:protein-powders","Whey Protein Isolate, Organic Cane Sugar, Organic Vanilla Flavor, Sunflower Lecithin",0.0,23.3,73.3
Greens,en:food,,13.0,34.0,1.0
Bramwells American Style Peanut Butter,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:legumes-and-their-products,en:spreads,en:nuts-and-their-products,en:plant-based-spreads,en:oilseed-purees,en:nut-butters,en:legume-butters,en:peanut-butters","Fructose, Soy Protein Isolate, Calcium Caseinate, Cocoa Powder, Casein, Oat Fiber, Cellulose Powder, Vegetable Stabilizer Guar Gum, Vitamins Premix, Minerals Premix, Canola Oil, Salt, Anticaking Agent Silicon Dioxide, Vegetable Emulsifier Lecithin Liquid, Anticaking Agent Dicalcium Phosphate, Thickener Carrageenan, dl-Methionine, Vegetable Emulsifier Lecithin Liquid, Anticaking Agent Silicon Dioxide, Vegetable Thickener Citrus Pectin, Psyllium Husk Powder, Hibiscus Sabdariffa Powder, Papaya Fruit Powder, Digestive Aids Papain and Bromelain",4.0,28.0,28.0
Usda Organic Matcha Latte,,"Organic Unrefined Cane Sugar, Organic Japanese Matcha Green Tea",0.0,90.0,9.0
Spaghettis aux scampi,,,20.2999992370605,1.0,33.2000007629395
Whey Protein - Mutan Mass,,,3.125,3.125,78.125
Matcha Latte,,"Erythritol, Organic Japanese Matcha Green Tea, Monk Fruit Extract",15.6,0.0,6.67
Barrette cioccolato e arachidi 1 barretta 35g.,"en:snacks,en:sweet-snacks,en:dietary-supplements","Concentré de protéines de lait (protéines de lactosérum, caséinate de calcium (contient du lait)), sirop de glucose, sirop de fructose, enrobage au chocolat au lait (17 %) (sucre, poudre de lait, beurre de cacao, pâte de cacao, émulsifiant (lécithine de soja), arôme), pâte d'arachide (10 %), gélatine, riz soufflé, poudre de cacao (0,7 %), colorant (caramel), arômes, DL-alpha-tocophérol, nicotinamide, D-pantothénate de calcium, chlorhydrate de thiamine, chlorhydrate de pyridoxine, riboflavine, cyanocobalamine. Conseil : pour les allergènes, voir les ingrédients en gras. PEUT CONTENIR DES TRACES D'AUTRES FRUITS À COQUES ET DE GLUTEN.",12.0,31.0,28.0
Barritas con proteínas,"en:snacks,en:sweet-snacks,en:bars,en:dietary-supplements,en:bodybuilding-supplements,en:protein-bars",,0.0,21.2,1.18
corn bread,it:multi-vitaminico,,2.29999995231628,2.20000004768372,4.30000019073486
Whey Protein Isolate,,,0.5,3.0,21.0
Spaghetti Proteici,,,16.7000003390842,2.8,35.7000007629395
